subset,subset_label,window,treatment,outcome,outcome_label,panel,n_elections,first_stage_coef,first_stage_se,first_stage_pval,n_first_stage,n_outcome,rd_estimate,rd_se,rd_pval,rd_ci_lo,rd_ci_hi,bandwidth,late_estimate,late_se,late_pval,late_ci_lo,late_ci_hi
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_inflation,Inflation,inflation,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,621,0.09511916671280307,0.38413208145019323,0.8044276679121846,-0.657765878235982,0.8480042116615881,16.298949230510885,-1.6845325522147225,5.714550412033774,0.768162295627355,-12.884845547639443,9.515780443209998
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_unemployment,Unemployment,unemployment,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,427,0.21078840479527783,0.9709010774220211,0.8281257738949092,-1.6921427395030175,2.1137195490935734,17.728587736388892,-0.04293445117146355,37.21778312697223,0.9990795602198745,-72.98844896445952,72.9025800621166
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_trade_pct_gdp,Trade openness,trade,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,580,5.725032924730824,5.107749233144966,0.2623507003375922,-4.285971614295384,15.736037463757032,14.759306916282364,-44.45666800137302,68.5838130720702,0.516849563695478,-178.87847154505795,89.9651355423119
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,597,1.1117121292431902,0.8074287194465796,0.16855713605200753,-0.4708190809554007,2.694243339441781,16.14536057581853,-11.151938714355072,18.792641533011693,0.5528997735888342,-47.98483929342957,25.680961864719425
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_gini_disp,Income inequality (Gini): Disposable,gini,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,512,0.9654285221599664,0.6594883359828353,0.1432198035981068,-0.32714486459064085,2.2580019089105736,18.77744887019291,144.37117608189612,1797.0248307055083,0.935967641722007,-3377.732771425087,3666.475123588879
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_gini_mkt,Income inequality (Gini): Market,gini,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,512,1.060031328398773,0.7133099333779516,0.13725955509357274,-0.33803045083667693,2.458093107634223,18.151941164707527,114.94634248351461,1371.0196279705465,0.9331836115747708,-2572.2027504362595,2802.0954354032883
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_debt,Public debt and deficit: Debt / GDP,fiscal,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,638,19.198599574114517,18.8976846170769,0.3096658757575394,-17.8401816665528,56.23738081478184,19.075703612343723,-229.3465159787725,660.0209349014665,0.728227962680866,-1522.9637774281018,1064.270745470557
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_deficit,Public debt and deficit: Deficit / GDP,fiscal,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,558,-0.2682827963797302,1.319300408728647,0.8388596657454899,-2.8540640822768504,2.31749848951739,17.368955523213803,5.673142441366957,36.92818010582716,0.8779043396428188,-66.70476058066276,78.05104546339669
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_checks_balances,Executive constraints: Checks & balances,institutions,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,675,0.00887607245938754,0.03065081842639119,0.7721323657281937,-0.05119842775301582,0.0689505726717909,27.14504735779832,-0.18897094883773527,0.9479951211606651,0.8419987706009118,-2.047007243832323,1.6690653461568525
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_jucon,Executive constraints: Judicial constraints,institutions,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.006120327004628921,0.04097933216793825,0.8812762359716296,-0.08643834216429155,0.07419768815503372,22.928600174343845,-0.033765109835750845,1.0717153187957418,0.9748662698880798,-2.1342885363552666,2.0667583166837646
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_legcon,Executive constraints: Legislative constraints,institutions,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,675,-0.01410888172296393,0.03746218653015248,0.7064585416377362,-0.0875334181041843,0.059315654658256445,23.755221962217593,0.20538841408282682,1.065105453555972,0.8470890713321744,-1.8821799146240772,2.292956742789731
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_hos_power,Executive power (ET): HOS,exec_power,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.01002793236467603,0.02628377537855191,0.7028133018464334,-0.061543185484378385,0.04148732075502633,19.883249644216818,0.2060103012945031,0.6182102916851098,0.7389556857682495,-1.0056596052803133,1.4176802078693196
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_hog_power,Executive power (ET): HOG,exec_power,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,352,0.01911093900232001,0.01911330217305998,0.31737034613479026,-0.018350444882508695,0.05657232288714871,23.04335268555066,0.7035892143990067,1.7311552003743234,0.6844284602003221,-2.6894126299838867,4.0965910587819
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_hos_power_vdem,Executive power (V-Dem): HOS (v2ex_hosw),exec_power_alt,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.003028633268593907,0.04333218787975542,0.9442785186601907,-0.08795816088423755,0.08190089434704975,17.832092600910673,0.023219283343197505,0.8791130146593517,0.9789285864180154,-1.6998105637295637,1.7462491304159586
