pair,row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R1 x R3,q80 (≥ 0.437),q20 (≥ 0.254),271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
R1 x R3,q80 (≥ 0.437),q40 (≥ 0.834),271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
R1 x R3,q80 (≥ 0.437),q60 (≥ 1.44),259,39,-0.23156743016526446,0.21803450229210208,0.28820489432828494,259,-0.07602902248975263,0.10349267717330309,0.46256370229570276,0.30011523763210207,0.9110053884682259,0.7418284285675285
R1 x R3,q80 (≥ 0.437),q80 (≥ 2.09),160,26,-0.23651248386625223,0.3330331389274141,0.4775943661675017,160,0.04297520462434347,0.0679434178208602,0.5270506628335538,0.31082352306917516,2.3498410132095002,0.8947673518931437
R2 x R4,all,all,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
R2 x R4,all,no prior episode,1240,161,-0.05421087908968378,0.06386888574103011,0.39600157521601054,1240,-0.04146400888166331,0.029943113467918305,0.16612603858615346,0.6893009887633128,0.938253570383001,0.46254423604922085
R2 x R4,q20 (≥ 0.144),all,1077,170,-0.035154389913744866,0.07711406965652938,0.6484797428240701,1077,-0.07129685510338736,0.036759550084140835,0.052434833445990585,1.3429616174080086,4.979586345793856,0.7873961315210507
R2 x R4,q20 (≥ 0.144),no prior episode,972,158,-0.036744131268139635,0.08492974288294383,0.6652752360695409,972,-0.046052368874564986,0.040093281159362816,0.2507083410973808,0.7734178456886243,1.8563234713938872,0.6769420486364515
R2 x R4,q40 (≥ 0.405),all,809,147,-0.026481122896962223,0.09491383283555427,0.7802435024937049,809,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-15.051111992339766,54.27918625926216,0.7815569220982667
R2 x R4,q40 (≥ 0.405),no prior episode,715,136,-0.036389602822912176,0.1147831892113906,0.751221576875237,715,-0.05415625226468376,0.055153911974007694,0.32614352276594755,1.24710502424477,9.992109894639116,0.9006747795393087
R2 x R4,q60 (≥ 0.705),all,542,89,0.06156140308438671,0.11792827398523992,0.6016535390799712,542,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-3.1620772053991804,3.9803559514422187,0.42695055093384965
R2 x R4,q60 (≥ 0.705),no prior episode,476,81,0.04261979731001683,0.13568175983808795,0.7534330182745478,476,-0.11895544999609035,0.09628818885014159,0.2166777265464511,-1.012186170727609,1.1793348170593485,0.390744103720186
R2 x R4,q80 (≥ 0.9),all,275,29,0.09873517407673149,0.1898681462438829,0.603049853268607,275,-0.27352539274730964,0.14318402642685213,0.05609374665103389,0.14312625754775343,28.370782952407794,0.9959748115892224
R2 x R4,q80 (≥ 0.9),no prior episode,248,28,0.0468616395969805,0.23472465677269752,0.8417581130080336,248,-0.3089247083692248,0.19233746709098626,0.1082388026965847,3.33353466793434,8.329086766011734,0.6889885110443287
