group,decade,cell,n_cell,n_usable,fitted,form,score,score_label,n,est,se,pval,ci_lo,ci_hi,bw
Non-OECD,2000s,Non-OECD 2000s,233,233,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),233,-0.7687248567232206,0.1851637156098085,3.301653735008136e-5,-1.131639070562062,-0.405810642884379,16.16693486041676
Non-OECD,2000s,Non-OECD 2000s,233,233,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),233,-0.539392118907918,0.24458990950011947,0.02743362571170671,-1.0187795325100633,-0.06000470530577284,17.48064348529305
Non-OECD,2000s,Non-OECD 2000s,233,233,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),233,-0.5984110619318508,0.1823740719490603,0.001033558561721291,-0.9558576746659254,-0.24096444919777615,18.051435774068604
Non-OECD,2000s,Non-OECD 2000s,233,233,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),233,-0.42939372798980735,0.1755440475197423,0.014442136071325242,-0.77345373882889,-0.08533371715072474,28.349125052656994
Non-OECD,2000s,Non-OECD 2000s,233,233,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),233,-0.30138654020504235,0.11120554602964208,0.006724762641369294,-0.519345405304252,-0.08342767510583274,16.329058115485665
Non-OECD,2000s,Non-OECD 2000s,233,233,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),233,-0.8603333375075259,0.5311928526674645,0.10531281000712883,-1.9014521975808472,0.18078552256579528,19.64598457019226
Non-OECD,2000s,Non-OECD 2000s,233,233,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),233,-1.5540262333795443,0.6730565973660745,0.020948648107463295,-2.873192923774126,-0.23485954298496248,17.15010727811676
Non-OECD,2000s,Non-OECD 2000s,233,233,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),233,-0.43902834792118006,0.34979382512573187,0.2094402626877835,-1.1246116471821161,0.24655495133975602,18.71960645464965
Non-OECD,2010s,Non-OECD 2010s,236,236,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),236,-0.5221143091255258,0.2605774112709578,0.045104118967491766,-1.0328366504012845,-0.011391967849767148,16.628087688455476
Non-OECD,2010s,Non-OECD 2010s,236,236,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),236,-0.6141193614336123,0.17076095556201787,3.2269030273135934e-4,-0.9488046843008119,-0.2794340385664128,12.635964035367921
Non-OECD,2010s,Non-OECD 2010s,236,236,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),236,-0.36241068914054203,0.26190254814675373,0.16643146459026756,-0.8757302509674467,0.1509088726863626,17.293598077748566
Non-OECD,2010s,Non-OECD 2010s,236,236,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),236,-0.874457226559655,0.13614047691701314,1.3344081884473587e-10,-1.1412876581551072,-0.6076267949642027,17.849418108596844
Non-OECD,2010s,Non-OECD 2010s,236,236,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),236,-0.20838727845562044,0.11747195175486576,0.07607436486604989,-0.43862807308878404,0.021853516177543164,23.673963161363098
Non-OECD,2010s,Non-OECD 2010s,236,236,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),236,-1.2596421138570466,0.7715724143611594,0.10256051869193554,-2.7718962574695336,0.2526120297554406,15.36689788063814
Non-OECD,2010s,Non-OECD 2010s,236,236,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),236,-1.5001508397891765,0.814464985083344,0.06549197304013418,-3.0964728772214825,0.09617119764312942,19.144292129587726
Non-OECD,2010s,Non-OECD 2010s,236,236,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),236,-0.6945670811296694,0.4918741932233166,0.1579255866898339,-1.658622784772065,0.2694886225127263,23.811811555756982
