window,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
6,polyarchy_decline,Y_gini_disp,Disposable,gini,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,946,0.5977329099672477,0.33446796173367654,0.07391880767614634,-66.76909839099733,1478.3425983485547,0.9639759238508908,18.267995744569458
6,polyarchy_decline,Y_gini_mkt,Market,gini,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,946,0.6893274212783033,0.3632437110813697,0.0577356739897318,1875.1547203587331,20884.058852784285,0.9284550433374352,19.759684677940495
6,polyarchy_decline,Y_debt,Debt / GDP,fiscal,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1165,11.975880702171214,14.458781212478934,0.40751345824375806,804.6449968168467,1246.6797205065416,0.5186483051012631,19.003359996476203
6,polyarchy_decline,Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1017,1.84576199934933,1.1568714428133693,0.1106055667024832,207.41924015830975,1538.6043940069949,0.8927621085128075,17.9798174705818
6,polyarchy_decline,Y_checks_balances,Checks & balances,institutions,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1229,0.00441713124513991,0.01862173307523405,0.8124992967928648,-0.5009775706802759,5.9278396275362,0.932648827474452,21.17634182512955
6,polyarchy_decline,Y_jucon,Judicial constraints,institutions,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1258,-0.00876902129203692,0.01855631602848829,0.6365252572489579,-0.31661899802151083,0.6264769927260748,0.6132806920992904,25.528252911026016
6,polyarchy_decline,Y_legcon,Legislative constraints,institutions,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1229,-0.00931644346459056,0.02362396240655464,0.6933122199140218,4.577547291180162,54.622819681039296,0.933213191818952,23.67019095509633
6,polyarchy_decline,Y_hos_power,HOS,exec_power,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1258,0.00652944756853918,0.01504792024881089,0.6643535808987147,0.5510359604637254,0.6325703794495269,0.3836961855627529,22.740674289806197
6,polyarchy_decline,Y_hog_power,HOG,exec_power,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,637,-0.00376851506079476,0.01151661031192367,0.7434982223852846,-0.11064020107283844,1.320985765430698,0.9332506021072806,17.165085340718793
6,polyarchy_decline,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1258,0.0333761819940559,0.02885550922238375,0.24740890867865076,1.785183713438217,1.7536034492661736,0.3086737820873046,21.540171516062426
6,polyarchy_decline,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w6_trt-polyarchy_gapany_illibany,polyarchy_decline,1258,0.02518257227965461,0.1930852158938366,1258,-0.02556346473716058,0.02912590484579033,0.3801129174346861,-1.5773553217910634,1.6019384203109244,0.32479397891685247,21.624997235511884
7,backsliding_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w7_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.02547733494528634,0.6866148271019231,1156,-0.05156083034534095,0.03306804950367545,0.1189409831237435,1.5779336666126198,2.8107605192790377,0.5745315010993501,20.796753703949076
