country_name,aut_ep_id,ep_start,ep_end,start_year_used,outcome_label,prch_label,miss_reason
Armenia,ARM_1993_1997,1993,1997,1993,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Azerbaijan,AZE_1993_1996,1993,1996,1993,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
The Gambia,GMB_1993_1995,1993,1995,1993,Autocracy deepening,No,Matched
Russia,RUS_1993_2014,1993,2014,1993,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Rwanda,RWA_1993_1995,1993,1995,1993,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Belarus,BLR_1994_2001,1994,2001,1994,Democratic breakdown,Yes,No election in the pre-episode window
Republic of the Congo,COG_1994_1998,1994,1998,1994,Autocracy deepening,No,Matched
Lesotho,LSO_1994_1995,1994,1995,1994,Democratic breakdown,Yes,Matched
Niger,NER_1996_1996,1996,1996,1996,Democratic breakdown,Yes,Matched
Nicaragua,NIC_1996_2025,1996,2025,1996,Democratic breakdown,Yes,Matched
Madagascar,MDG_1997_2002,1997,2002,1997,Democratic breakdown,Yes,Matched
Ukraine,UKR_1997_2000,1997,2000,1997,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Moldova,MDA_1998_2006,1998,2006,1998,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Solomon Islands,SLB_1998_2001,1998,2001,1998,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Venezuela,VEN_1998_2018,1998,2018,1998,Democratic breakdown,Yes,Matched
Comoros,COM_1999_2000,1999,2000,1999,Autocracy deepening,No,Matched
Malawi,MWI_1999_2005,1999,2005,1999,Democratic breakdown,Yes,Matched
Niger,NER_1999_1999,1999,1999,1999,Autocracy deepening,No,Shadowed by a closer episode in the same election's window
Pakistan,PAK_1999_2000,1999,2000,1999,Autocracy deepening,No,Matched
Ivory Coast,CIV_2000_2000,2000,2000,2000,Autocracy deepening,No,Matched
Fiji,FJI_2000_2001,2000,2001,2000,Democratic breakdown,Yes,Matched
North Macedonia,MKD_2000_2001,2000,2001,2000,Autocracy deepening,No,Matched
Nepal,NPL_2000_2003,2000,2003,2000,Autocracy deepening,No,Matched
Haiti,HTI_2001_2004,2001,2004,2001,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Philippines,PHL_2001_2005,2001,2005,2001,Democratic breakdown,Yes,Matched
Bangladesh,BGD_2002_2007,2002,2007,2002,Democratic breakdown,Yes,Matched
Central African Republic,CAF_2003_2004,2003,2004,2003,Autocracy deepening,No,Matched
Liberia,LBR_2003_2004,2003,2004,2003,Autocracy deepening,No,Matched
Thailand,THA_2003_2007,2003,2007,2003,Democratic breakdown,Yes,Matched
Bosnia and Herzegovina,BIH_2004_2007,2004,2007,2004,Democratic erosion,Yes,Matched
Sri Lanka,LKA_2004_2006,2004,2006,2004,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
North Macedonia,MKD_2005_2012,2005,2012,2005,Democratic breakdown,Yes,Matched
Türkiye,TUR_2005_2017,2005,2017,2005,Democratic breakdown,Yes,Matched
Bolivia,BOL_2006_2020,2006,2020,2006,Democratic breakdown,Yes,Matched
Fiji,FJI_2006_2007,2006,2007,2006,Autocracy deepening,No,Matched
Honduras,HND_2006_2010,2006,2010,2006,Democratic breakdown,Yes,Matched
Hungary,HUN_2006_2025,2006,2025,2006,Democratic breakdown,Yes,Matched
Palestine/West Bank,PSE_2006_2008,2006,2008,2006,Democratic breakdown,Yes,Country has no elections in the spine at all
Ecuador,ECU_2007_2013,2007,2013,2007,Democratic erosion,Yes,Matched
Papua New Guinea,PNG_2007_2013,2007,2013,2007,Democratic breakdown,Yes,No election in the pre-episode window
South Korea,KOR_2008_2014,2008,2014,2008,Democratic erosion,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Mali,MLI_2008_2013,2008,2013,2008,Democratic breakdown,Yes,Matched
Indonesia,IDN_2009_2025,2009,2025,2009,Democratic breakdown,Yes,Matched
India,IND_2009_2025,2009,2025,2009,Democratic breakdown,Yes,Matched
Madagascar,MDG_2009_2010,2009,2010,2009,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Niger,NER_2009_2010,2009,2010,2009,Democratic breakdown,Yes,Matched
Burundi,BDI_2010_2016,2010,2016,2010,Autocracy deepening,No,Matched
Maldives,MDV_2010_2017,2010,2017,2010,Democratic breakdown,Yes,Matched
Serbia,SRB_2010_2025,2010,2025,2010,Democratic breakdown,Yes,Matched
Ukraine,UKR_2010_2014,2010,2014,2010,Democratic breakdown,Yes,Matched
Zambia,ZMB_2011_2019,2011,2019,2011,Democratic breakdown,Yes,Matched
Guinea-Bissau,GNB_2012_2013,2012,2013,2012,Autocracy deepening,No,Matched
Nepal,NPL_2012_2013,2012,2013,2012,Autocracy deepening,No,Matched
Slovenia,SVN_2012_2021,2012,2021,2012,Democratic erosion,Yes,Matched
Bangladesh,BGD_2013_2018,2013,2018,2013,Autocracy deepening,No,No election in the pre-episode window
Czechia,CZE_2013_2021,2013,2021,2013,Democratic erosion,Yes,Matched
Egypt,EGY_2013_2014,2013,2014,2013,Autocracy deepening,No,Matched
Ghana,GHA_2013_2021,2013,2021,2013,Democratic erosion,Yes,Matched
Croatia,HRV_2013_2025,2013,2025,2013,Ongoing,Yes,Matched
Moldova,MDA_2013_2017,2013,2017,2013,Democratic erosion,Yes,Matched
Mauritania,MRT_2013_2025,2013,2025,2013,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Thailand,THA_2013_2014,2013,2014,2013,Autocracy deepening,No,Matched
Yemen,YEM_2013_2016,2013,2016,2013,Autocracy deepening,No,Matched
Burkina Faso,BFA_2014_2015,2014,2015,2014,Democratic breakdown,Yes,Matched
Libya,LBY_2014_2025,2014,2025,2014,Autocracy deepening,No,Country has no elections in the spine at all
Mauritius,MUS_2014_2023,2014,2023,2014,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Tunisia,TUN_2014_2022,2014,2022,2014,Democratic breakdown,Yes,Matched
Brazil,BRA_2015_2019,2015,2019,2015,Democratic erosion,Yes,Matched
Botswana,BWA_2015_2022,2015,2022,2015,Democratic erosion,Yes,Matched
Comoros,COM_2015_2020,2015,2020,2015,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Lesotho,LSO_2015_2017,2015,2017,2015,Democratic erosion,Yes,Matched
Niger,NER_2015_2025,2015,2025,2015,Democratic breakdown,Yes,Matched
Pakistan,PAK_2015_2025,2015,2025,2015,Autocracy deepening,No,Matched
Tanzania,TZA_2015_2021,2015,2021,2015,Autocracy deepening,No,Matched
Hong Kong,HKG_2016_2025,2016,2025,2016,Autocracy deepening,No,Country has no elections in the spine at all
Cambodia,KHM_2016_2025,2016,2025,2016,Autocracy deepening,No,Matched
Mongolia,MNG_2016_2024,2016,2024,2016,Democratic breakdown,Yes,Matched
Peru,PER_2016_2025,2016,2025,2016,Ongoing,Yes,Matched
Philippines,PHL_2016_2025,2016,2025,2016,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Poland,POL_2016_2021,2016,2021,2016,Democratic erosion,Yes,Matched
Georgia,GEO_2017_2025,2017,2025,2017,Democratic breakdown,Yes,Matched
Mozambique,MOZ_2017_2025,2017,2025,2017,Autocracy deepening,No,Matched
Chad,TCD_2017_2022,2017,2022,2017,Autocracy deepening,No,Matched
Togo,TGO_2017_2025,2017,2025,2017,Autocracy deepening,No,Matched
Benin,BEN_2018_2021,2018,2021,2018,Democratic breakdown,Yes,Matched
Burkina Faso,BFA_2018_2025,2018,2025,2018,Democratic breakdown,Yes,Matched
Gabon,GAB_2018_2024,2018,2024,2018,Autocracy deepening,No,Matched
Guatemala,GTM_2018_2022,2018,2022,2018,Democratic erosion,Yes,Matched
Lebanon,LBN_2018_2024,2018,2024,2018,Autocracy deepening,No,Country has no elections in the spine at all
Mali,MLI_2018_2025,2018,2025,2018,Autocracy deepening,No,Matched
El Salvador,SLV_2018_2025,2018,2025,2018,Democratic breakdown,Yes,Matched
Central African Republic,CAF_2019_2025,2019,2025,2019,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
United Kingdom,GBR_2019_2025,2019,2025,2019,Ongoing,Yes,Matched
Guinea,GIN_2019_2025,2019,2025,2019,Autocracy deepening,No,Matched
Guyana,GUY_2019_2025,2019,2025,2019,Ongoing,Yes,Matched
Italy,ITA_2019_2025,2019,2025,2019,Ongoing,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Kyrgyzstan,KGZ_2019_2025,2019,2025,2019,Autocracy deepening,No,Matched
South Korea,KOR_2019_2023,2019,2023,2019,Democratic erosion,Yes,Matched
Armenia,ARM_2020_2025,2020,2025,2020,Ongoing,Yes,Matched
Belarus,BLR_2020_2025,2020,2025,2020,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Ivory Coast,CIV_2020_2025,2020,2025,2020,Democratic breakdown,Yes,Matched
Greece,GRC_2020_2025,2020,2025,2020,Ongoing,Yes,Matched
Haiti,HTI_2020_2025,2020,2025,2020,Autocracy deepening,No,Matched
Mexico,MEX_2020_2025,2020,2025,2020,Democratic breakdown,Yes,Matched
