score_y,score_x,vocab,is_plotted,group,decade,decade_start,tag,n_party_years,n_parties,mean_antiplural,mean_popul,tag_rank
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1990s,1990,christian_democracy,75,36,0.6412133333333333,0.10817333333333333,3
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1990s,1990,agrarianism,20,10,1.0565,0.15195,14
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2000s,2000,christian_democracy,76,36,0.8491052631578947,0.0845,2
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2010s,2010,christian_democracy,69,34,0.8532608695652174,0.08942028985507247,3
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1970s,1970,liberal_conservatism,34,13,1.272029411764706,0.1081764705882353,4
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1970s,1970,pro_europeanism,27,11,0.33196296296296296,0.06481481481481481,6
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1980s,1980,liberal_conservatism,36,14,1.1862777777777778,0.12227777777777778,4
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1980s,1980,pro_europeanism,29,12,0.06786206896551729,0.12103448275862068,6
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1990s,1990,liberal_conservatism,47,19,1.2098510638297872,0.16261702127659575,7
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2000s,2000,liberal_conservatism,48,21,1.3191458333333332,0.11408333333333334,8
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2000s,2000,pro_europeanism,59,26,0.16549152542372886,0.126135593220339,4
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2010s,2010,liberal_conservatism,54,24,1.3251851851851852,0.09346296296296297,8
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2010s,2010,pro_europeanism,57,29,0.06491228070175441,0.06271929824561404,5
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1990s,1990,euroscepticism,18,8,0.3779999999999999,0.4815,16
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2000s,2000,euroscepticism,25,13,0.6264,0.3872,14
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2010s,2010,eco_socialism,23,11,-2.270608695652174,0.10969565217391304,18
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1970s,1970,conservative_liberalism,15,5,1.3957333333333333,0.08926666666666667,14
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1970s,1970,liberalism,30,11,0.5291,0.06953333333333334,5
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1980s,1980,liberalism,31,13,0.6170967741935485,0.08283870967741935,5
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1990s,1990,conservative_liberalism,15,7,1.6423333333333334,0.047599999999999996,19
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1990s,1990,liberalism,39,17,0.6707435897435897,0.07148717948717949,9
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2000s,2000,liberalism,32,17,0.6476250000000001,0.096625,10
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2010s,2010,conservative_liberalism,20,9,1.5815,0.16015,19
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2010s,2010,liberalism,40,22,0.610275,0.08715,10
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1970s,1970,economic_liberalism,16,8,1.1718125000000001,0.1774375,11
